City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fisterra,42.9049,-9.2629,55.02,76,27,16.8,ES,1698721393
84,puerto natales,-51.7236,-72.4875,32.81,77,1,3.91,CL,1698721393
85,bandarbeyla,9.4942,50.8122,79.41,83,99,12.41,SO,1698721393
86,tolanaro,-25.0319,46.9987,75.27,88,75,0.0,MG,1698721393
87,hawaiian paradise park,19.5933,-154.9731,78.87,88,100,6.91,US,1698721393
88,grajewo,53.6473,22.4554,50.05,94,100,9.73,PL,1698721394
89,phan rang-thap cham,11.5667,108.9833,86.27,65,94,10.54,VN,1698721394
90,enewetak,11.3474,162.3373,82.99,80,100,17.16,MH,1698721394
91,watertown,42.3709,-71.1828,48.49,92,75,10.36,US,1698721394
92,las heras,-46.5419,-68.9359,39.81,42,70,9.48,AR,1698721244
93,newman,37.3138,-121.0208,61.29,38,5,1.99,US,1698721395
94,punta arenas,-53.15,-70.9167,37.51,60,0,10.36,CL,1698721223
95,praia da vitoria,38.7333,-27.0667,66.76,77,40,15.97,PT,1698721395
96,invercargill,-46.4,168.35,59.02,78,100,5.01,NZ,1698721228
97,isafjordur,66.0755,-23.124,34.74,72,38,3.78,IS,1698721395
98,tiksi,71.6872,128.8694,-4.5,100,85,2.28,RU,1698721395
99,cockburn town,21.4612,-71.1419,83.66,80,97,13.18,TC,1698721396
100,shalya,57.2471,58.7298,21.74,98,100,3.89,RU,1698721396
101,berdigestyakh,62.0989,126.6992,9.34,88,44,3.24,RU,1698721396
102,northam,51.0333,-4.2167,51.39,97,6,6.93,GB,1698721396
103,alofi,-19.0595,-169.9187,80.49,65,75,14.97,NU,1698721397
104,whitehorse,60.7161,-135.0538,34.57,93,100,5.75,CA,1698721215
105,nago,26.5881,127.9761,82.45,66,42,14.23,JP,1698721397
106,bizerte,37.2744,9.8739,71.6,83,0,0.0,TN,1698721397
107,flying fish cove,-10.4217,105.6791,82.08,78,100,11.5,CX,1698721397
108,arvayheer,46.2639,102.775,42.35,48,100,5.21,MN,1698721398
109,atafu village,-8.5421,-172.5159,84.45,73,26,14.43,TK,1698721398
110,vorgashor,67.5833,63.95,13.78,95,100,9.55,RU,1698721398
111,sarina,-21.4333,149.2167,90.27,39,3,9.57,AU,1698721398
112,puerto baquerizo moreno,-0.9,-89.6,73.87,81,100,9.13,EC,1698721356
113,el gouna,27.3942,33.6782,75.29,65,5,2.84,EG,1698721398
114,novosergiyevka,52.0934,53.6528,36.86,79,100,16.49,RU,1698721399
115,margaret river,-33.95,115.0667,65.07,43,96,4.21,AU,1698721248
116,aasiaat,68.7098,-52.8699,17.96,83,39,12.3,GL,1698721399
117,constantia,44.1833,28.65,52.7,83,2,7.49,RO,1698721127
118,mossel bay,-34.1831,22.146,48.13,76,0,9.1,ZA,1698721399
119,kristiansund,63.1115,7.732,27.25,80,0,3.44,NO,1698721400
120,miragoane,18.4423,-73.0876,81.79,79,78,7.85,HT,1698721400
121,kilifi,-3.6305,39.8499,76.26,88,32,5.53,KE,1698721400
122,salekhard,66.53,66.6019,12.99,94,100,5.57,RU,1698721400
123,kirakira,-10.4544,161.9205,84.63,75,37,10.71,SB,1698721401
124,port mathurin,-19.6833,63.4167,76.19,80,38,19.44,MU,1698721401
125,huittinen,61.1833,22.7,30.51,96,100,12.03,FI,1698721401
126,inhambane,-23.865,35.3833,68.0,70,100,10.51,MZ,1698721401
127,kralendijk,12.15,-68.2667,83.55,78,100,13.87,BQ,1698721401
128,harstad,68.799,16.5293,32.16,96,98,11.01,NO,1698721402
129,san francisco de la paz,14.9,-86.2,76.71,97,100,1.7,HN,1698721402
130,letterkenny,54.95,-7.7333,46.18,88,100,10.45,IE,1698721402
131,la peca,-5.6111,-78.435,72.07,76,67,1.97,PE,1698721402
132,nha trang,12.25,109.1833,86.0,71,100,2.48,VN,1698721232
133,tindouf,27.6711,-8.1474,72.05,28,0,6.91,DZ,1698721403
134,haiku-pauwela,20.9219,-156.3051,79.03,79,39,6.26,US,1698721403
135,jinxiang,27.4327,120.6062,72.73,67,0,7.2,CN,1698721180
136,turpan,42.9333,89.1667,65.41,27,80,1.01,CN,1698721403
137,olonkinbyen,70.9221,-8.7187,35.4,75,100,11.34,SJ,1698721403
138,cobija,-11.0267,-68.7692,79.48,58,71,3.38,BO,1698721403
139,grand falls-windsor,48.9332,-55.6649,33.51,88,98,2.33,CA,1698721404
140,tazovsky,67.4667,78.7,1.29,97,34,5.7,RU,1698721404
141,nar'yan-mar,67.6713,53.087,13.1,97,88,5.99,RU,1698721404
142,polyarnyy,69.1989,33.4478,22.15,93,100,11.27,RU,1698721404
143,punta de bombon,-17.1717,-71.7931,65.37,88,82,8.03,PE,1698721404
144,alaghsas,17.0187,8.0168,78.06,15,100,11.12,NE,1698721404
145,huarmey,-10.0681,-78.1522,67.28,87,44,6.98,PE,1698721405
146,val-d'or,48.1002,-77.7828,26.69,80,75,14.97,CA,1698721153
147,ugoofaaru,5.6667,73.0,81.79,73,98,4.59,MV,1698721405
148,manta,-0.95,-80.7333,78.58,78,40,10.36,EC,1698721405
149,hakui,36.8833,136.7833,73.26,61,4,5.95,JP,1698721405
150,baie-comeau,49.2168,-68.1489,31.68,100,100,3.44,CA,1698721280
151,burlington,39.8835,-74.6413,53.71,74,75,12.66,US,1698721153
152,new norfolk,-42.7826,147.0587,62.1,44,92,12.15,AU,1698721406
